query	q0	docid	score	rank	model
2	0	s_993_743_9	0.9901948571205139	1	distilbert-base-uncased-emotion
2	0	s_2146_111_3	0.9887250661849976	2	distilbert-base-uncased-emotion
2	0	s_697_373_15	0.9862490296363831	3	distilbert-base-uncased-emotion
2	0	s_1749_1044_0	0.9821608662605286	4	distilbert-base-uncased-emotion
2	0	s_1602_1269_38	0.981662392616272	5	distilbert-base-uncased-emotion
2	0	s_2139_10_2	0.9815667867660522	6	distilbert-base-uncased-emotion
2	0	s_993_781_1	0.9761223793029785	7	distilbert-base-uncased-emotion
2	0	s_993_965_1	0.9759490489959717	8	distilbert-base-uncased-emotion
2	0	s_2415_1005_20	0.9755102396011353	9	distilbert-base-uncased-emotion
2	0	s_2606_309_5	0.9749605655670166	10	distilbert-base-uncased-emotion
2	0	s_17_843_10	0.9736537337303162	11	distilbert-base-uncased-emotion
2	0	s_2415_2_4	0.9735788106918335	12	distilbert-base-uncased-emotion
2	0	s_1155_65_4	0.9734282493591309	13	distilbert-base-uncased-emotion
2	0	s_201_51_0	0.9732731580734253	14	distilbert-base-uncased-emotion
2	0	s_752_56_12	0.9712941646575928	15	distilbert-base-uncased-emotion
2	0	s_2330_916_0	0.9707803130149841	16	distilbert-base-uncased-emotion
2	0	s_80_108_2	0.9707026481628418	17	distilbert-base-uncased-emotion
2	0	s_156_110_0	0.9700133204460144	18	distilbert-base-uncased-emotion
2	0	s_1551_28_10	0.9691008925437927	19	distilbert-base-uncased-emotion
2	0	s_1580_85_8	0.9684259295463562	20	distilbert-base-uncased-emotion
2	0	s_132_167_0	0.9683037400245667	21	distilbert-base-uncased-emotion
2	0	s_3075_23_3	0.9675110578536987	22	distilbert-base-uncased-emotion
2	0	s_2963_0_3	0.9673161506652832	23	distilbert-base-uncased-emotion
2	0	s_1551_18_1	0.9673047065734863	24	distilbert-base-uncased-emotion
2	0	s_888_1323_3	0.967167854309082	25	distilbert-base-uncased-emotion
2	0	s_342_1402_1	0.9670636653900146	26	distilbert-base-uncased-emotion
2	0	s_2130_1123_10	0.9665631651878357	27	distilbert-base-uncased-emotion
2	0	s_508_7_5	0.966413676738739	28	distilbert-base-uncased-emotion
2	0	s_2139_123_4	0.9658981561660767	29	distilbert-base-uncased-emotion
2	0	s_2188_893_0	0.9658706188201904	30	distilbert-base-uncased-emotion
2	0	s_993_928_7	0.9658549427986145	31	distilbert-base-uncased-emotion
2	0	s_2130_1250_12	0.9658117294311523	32	distilbert-base-uncased-emotion
2	0	s_8_1120_3	0.9657390713691711	33	distilbert-base-uncased-emotion
2	0	s_8_1124_3	0.9657390117645264	34	distilbert-base-uncased-emotion
2	0	s_371_142_0	0.9657261967658997	35	distilbert-base-uncased-emotion
2	0	s_676_252_1	0.965167224407196	36	distilbert-base-uncased-emotion
2	0	s_1601_794_0	0.9651351571083069	37	distilbert-base-uncased-emotion
2	0	s_1639_444_16	0.9651095271110535	38	distilbert-base-uncased-emotion
2	0	s_2035_868_1	0.9649269580841064	39	distilbert-base-uncased-emotion
2	0	s_804_136_0	0.9648867845535278	40	distilbert-base-uncased-emotion
2	0	s_1265_110_0	0.9644023180007935	41	distilbert-base-uncased-emotion
2	0	s_1551_0_41	0.9643939733505249	42	distilbert-base-uncased-emotion
2	0	s_2470_74_1	0.9643877744674683	43	distilbert-base-uncased-emotion
2	0	s_2749_78_0	0.9641100764274597	44	distilbert-base-uncased-emotion
2	0	s_2139_46_3	0.9641046524047852	45	distilbert-base-uncased-emotion
2	0	s_1265_212_0	0.9638346433639526	46	distilbert-base-uncased-emotion
2	0	s_1580_37_2	0.9638093709945679	47	distilbert-base-uncased-emotion
2	0	s_782_6_13	0.9637647271156311	48	distilbert-base-uncased-emotion
2	0	s_2560_109_0	0.9636640548706055	49	distilbert-base-uncased-emotion
2	0	s_2415_600_3	0.9633479118347168	50	distilbert-base-uncased-emotion
2	0	s_2625_795_12	0.9632970094680786	51	distilbert-base-uncased-emotion
2	0	s_586_713_4	0.9631156921386719	52	distilbert-base-uncased-emotion
2	0	s_2958_226_0	0.9630793333053589	53	distilbert-base-uncased-emotion
2	0	s_897_971_2	0.9629937410354614	54	distilbert-base-uncased-emotion
2	0	s_2455_115_0	0.9628595113754272	55	distilbert-base-uncased-emotion
2	0	s_2886_69_10	0.9627661108970642	56	distilbert-base-uncased-emotion
2	0	s_2296_651_2	0.9626954793930054	57	distilbert-base-uncased-emotion
2	0	s_447_972_0	0.9625990390777588	58	distilbert-base-uncased-emotion
2	0	s_356_186_14	0.9622758626937866	59	distilbert-base-uncased-emotion
2	0	s_1715_78_18	0.9622600078582764	60	distilbert-base-uncased-emotion
2	0	s_1404_870_8	0.9619338512420654	61	distilbert-base-uncased-emotion
2	0	s_1515_552_0	0.9618089199066162	62	distilbert-base-uncased-emotion
2	0	s_1764_1_1	0.9618077874183655	63	distilbert-base-uncased-emotion
2	0	s_993_565_5	0.9617880582809448	64	distilbert-base-uncased-emotion
2	0	s_2402_479_5	0.9615697860717773	65	distilbert-base-uncased-emotion
2	0	s_3056_1677_0	0.9614981412887573	66	distilbert-base-uncased-emotion
2	0	s_962_142_0	0.9613469839096069	67	distilbert-base-uncased-emotion
2	0	s_3028_409_3	0.9613198637962341	68	distilbert-base-uncased-emotion
2	0	s_1404_769_6	0.9611225128173828	69	distilbert-base-uncased-emotion
2	0	s_2479_81_5	0.9610997438430786	70	distilbert-base-uncased-emotion
2	0	s_18_376_2	0.9610930681228638	71	distilbert-base-uncased-emotion
2	0	s_1132_1004_0	0.9610655903816223	72	distilbert-base-uncased-emotion
2	0	s_610_89_0	0.9610608220100403	73	distilbert-base-uncased-emotion
2	0	s_2100_1_24	0.9607622623443604	74	distilbert-base-uncased-emotion
2	0	s_8_355_2	0.9607499241828918	75	distilbert-base-uncased-emotion
2	0	s_2993_408_1	0.9607227444648743	76	distilbert-base-uncased-emotion
2	0	s_1499_289_32	0.9605493545532227	77	distilbert-base-uncased-emotion
2	0	s_3068_920_3	0.960274338722229	78	distilbert-base-uncased-emotion
2	0	s_2143_358_13	0.9600310921669006	79	distilbert-base-uncased-emotion
2	0	s_1234_347_0	0.9599973559379578	80	distilbert-base-uncased-emotion
2	0	s_2587_568_0	0.9599471092224121	81	distilbert-base-uncased-emotion
2	0	s_17_808_1	0.9599111080169678	82	distilbert-base-uncased-emotion
2	0	s_775_1025_5	0.9598836302757263	83	distilbert-base-uncased-emotion
2	0	s_1388_1136_0	0.959814190864563	84	distilbert-base-uncased-emotion
2	0	s_56_303_4	0.9596997499465942	85	distilbert-base-uncased-emotion
2	0	s_1903_1702_0	0.9596719145774841	86	distilbert-base-uncased-emotion
2	0	s_2176_603_1	0.9595401287078857	87	distilbert-base-uncased-emotion
2	0	s_1955_918_0	0.9592782258987427	88	distilbert-base-uncased-emotion
2	0	s_131_921_5	0.9591660499572754	89	distilbert-base-uncased-emotion
2	0	s_2536_48_0	0.958984911441803	90	distilbert-base-uncased-emotion
2	0	s_951_54_0	0.9588223695755005	91	distilbert-base-uncased-emotion
2	0	s_749_279_0	0.9586682915687561	92	distilbert-base-uncased-emotion
2	0	s_1247_1073_0	0.9585280418395996	93	distilbert-base-uncased-emotion
2	0	s_1625_371_4	0.9584753513336182	94	distilbert-base-uncased-emotion
2	0	s_2402_741_0	0.9583411812782288	95	distilbert-base-uncased-emotion
2	0	s_2815_1461_59	0.9583302736282349	96	distilbert-base-uncased-emotion
2	0	s_2453_7_8	0.9583302736282349	97	distilbert-base-uncased-emotion
2	0	s_1581_626_0	0.9582855701446533	98	distilbert-base-uncased-emotion
2	0	s_1639_672_6	0.9582503437995911	99	distilbert-base-uncased-emotion
2	0	s_2035_910_3	0.957987904548645	100	distilbert-base-uncased-emotion
2	0	s_1159_991_0	0.9578593969345093	101	distilbert-base-uncased-emotion
