q_id	q0	doc_id	score	rank	model
1	0	s_2286_168_4	0.8916945457458496	1	all-MiniLM-L6-v2
1	0	s_993_781_1	0.8366263508796692	2	all-MiniLM-L6-v2
1	0	s_962_142_0	0.7997963428497314	3	all-MiniLM-L6-v2
1	0	s_326_265_1	0.7918416261672974	4	all-MiniLM-L6-v2
1	0	s_2100_761_0	0.7701936364173889	5	all-MiniLM-L6-v2
1	0	s_2338_830_1	0.7642471194267273	6	all-MiniLM-L6-v2
1	0	s_2449_324_0	0.7623528242111206	7	all-MiniLM-L6-v2
1	0	s_2007_693_0	0.7594430446624756	8	all-MiniLM-L6-v2
1	0	s_1455_334_3	0.7486006021499634	9	all-MiniLM-L6-v2
1	0	s_2139_123_4	0.7473278045654297	10	all-MiniLM-L6-v2
1	0	s_1854_654_0	0.7442548274993896	11	all-MiniLM-L6-v2
1	0	s_655_6_31	0.744245171546936	12	all-MiniLM-L6-v2
1	0	s_507_383_0	0.732188880443573	13	all-MiniLM-L6-v2
1	0	s_1170_361_2	0.7310447692871094	14	all-MiniLM-L6-v2
1	0	s_1404_945_6	0.726892352104187	15	all-MiniLM-L6-v2
1	0	s_131_822_0	0.7211547493934631	16	all-MiniLM-L6-v2
1	0	s_2401_0_9	0.7141059041023254	17	all-MiniLM-L6-v2
1	0	s_1955_874_0	0.7137688398361206	18	all-MiniLM-L6-v2
1	0	s_2188_1006_0	0.7102394700050354	19	all-MiniLM-L6-v2
1	0	s_690_1006_4	0.7085232734680176	20	all-MiniLM-L6-v2
1	0	s_2500_719_2	0.706843912601471	21	all-MiniLM-L6-v2
1	0	s_12_2_34	0.6962062120437622	22	all-MiniLM-L6-v2
1	0	s_2681_1097_0	0.6950994729995728	23	all-MiniLM-L6-v2
1	0	s_289_702_1	0.6950994729995728	24	all-MiniLM-L6-v2
1	0	s_2663_128_23	0.6924580931663513	25	all-MiniLM-L6-v2
1	0	s_549_688_0	0.691522479057312	26	all-MiniLM-L6-v2
1	0	s_3002_178_1	0.690895676612854	27	all-MiniLM-L6-v2
1	0	s_1693_120_0	0.690359354019165	28	all-MiniLM-L6-v2
1	0	s_1155_17_13	0.6899361610412598	29	all-MiniLM-L6-v2
1	0	s_1132_1004_0	0.689835786819458	30	all-MiniLM-L6-v2
1	0	s_1749_226_7	0.6897774934768677	31	all-MiniLM-L6-v2
1	0	s_65_23_0	0.689618706703186	32	all-MiniLM-L6-v2
1	0	s_1265_334_1	0.6888346076011658	33	all-MiniLM-L6-v2
1	0	s_2192_40_0	0.688391923904419	34	all-MiniLM-L6-v2
1	0	s_2130_319_0	0.68726646900177	35	all-MiniLM-L6-v2
1	0	s_512_1216_13	0.6868761777877808	36	all-MiniLM-L6-v2
1	0	s_2139_303_5	0.6867687702178955	37	all-MiniLM-L6-v2
1	0	s_1404_172_0	0.6856552362442017	38	all-MiniLM-L6-v2
1	0	s_2176_603_1	0.6856393814086914	39	all-MiniLM-L6-v2
1	0	s_993_743_9	0.6805306673049927	40	all-MiniLM-L6-v2
1	0	s_3105_85_0	0.680286169052124	41	all-MiniLM-L6-v2
1	0	s_782_573_10	0.6741646528244019	42	all-MiniLM-L6-v2
1	0	s_2292_572_49	0.6726455092430115	43	all-MiniLM-L6-v2
1	0	s_1410_88_0	0.6716923713684082	44	all-MiniLM-L6-v2
1	0	s_2384_369_2	0.6707323789596558	45	all-MiniLM-L6-v2
1	0	s_934_414_0	0.6707323789596558	46	all-MiniLM-L6-v2
1	0	s_1965_685_0	0.6701680421829224	47	all-MiniLM-L6-v2
1	0	s_2801_354_0	0.6701680421829224	48	all-MiniLM-L6-v2
1	0	s_1656_36_0	0.6696133017539978	49	all-MiniLM-L6-v2
1	0	s_1584_1052_0	0.6685451865196228	50	all-MiniLM-L6-v2
1	0	s_2176_1335_0	0.6680047512054443	51	all-MiniLM-L6-v2
1	0	s_411_1189_1	0.6660184264183044	52	all-MiniLM-L6-v2
1	0	s_1132_298_0	0.6655769944190979	53	all-MiniLM-L6-v2
1	0	s_2439_346_1	0.6653084754943848	54	all-MiniLM-L6-v2
1	0	s_17_808_1	0.6636765599250793	55	all-MiniLM-L6-v2
1	0	s_1404_817_0	0.6635154485702515	56	all-MiniLM-L6-v2
1	0	s_2372_1605_5	0.6634604334831238	57	all-MiniLM-L6-v2
1	0	s_2415_1145_1	0.662760853767395	58	all-MiniLM-L6-v2
1	0	s_2035_148_4	0.6609191298484802	59	all-MiniLM-L6-v2
1	0	s_71_41_0	0.6595941781997681	60	all-MiniLM-L6-v2
1	0	s_2700_225_0	0.6595941781997681	61	all-MiniLM-L6-v2
1	0	s_462_474_94	0.6591489315032959	62	all-MiniLM-L6-v2
1	0	s_1599_19_2	0.6580864191055298	63	all-MiniLM-L6-v2
1	0	s_781_127_11	0.6580609083175659	64	all-MiniLM-L6-v2
1	0	s_1715_78_51	0.6576046347618103	65	all-MiniLM-L6-v2
1	0	s_697_148_3	0.6562085151672363	66	all-MiniLM-L6-v2
1	0	s_1681_1030_1	0.655468225479126	67	all-MiniLM-L6-v2
1	0	s_2139_149_1	0.6540669798851013	68	all-MiniLM-L6-v2
1	0	s_2070_41_16	0.6539090871810913	69	all-MiniLM-L6-v2
1	0	s_356_186_14	0.6530905961990356	70	all-MiniLM-L6-v2
1	0	s_1551_163_8	0.6525788903236389	71	all-MiniLM-L6-v2
1	0	s_18_1065_0	0.652259886264801	72	all-MiniLM-L6-v2
1	0	s_2488_644_0	0.6468378305435181	73	all-MiniLM-L6-v2
1	0	s_2402_731_3	0.6461261510848999	74	all-MiniLM-L6-v2
1	0	s_2402_1028_0	0.6432340145111084	75	all-MiniLM-L6-v2
1	0	s_2402_1206_3	0.6432338953018188	76	all-MiniLM-L6-v2
1	0	s_1581_626_0	0.6428438425064087	77	all-MiniLM-L6-v2
1	0	s_2130_716_0	0.6411160230636597	78	all-MiniLM-L6-v2
1	0	s_2801_743_1	0.6403945684432983	79	all-MiniLM-L6-v2
1	0	s_664_102_2	0.6399154663085938	80	all-MiniLM-L6-v2
1	0	s_3093_656_42	0.6396953463554382	81	all-MiniLM-L6-v2
1	0	s_2415_600_3	0.6393370628356934	82	all-MiniLM-L6-v2
1	0	s_2139_3_2	0.6388709545135498	83	all-MiniLM-L6-v2
1	0	s_775_1025_5	0.637824296951294	84	all-MiniLM-L6-v2
1	0	s_2415_698_0	0.6369356513023376	85	all-MiniLM-L6-v2
1	0	s_1276_718_3	0.6367773413658142	86	all-MiniLM-L6-v2
1	0	s_1749_1060_14	0.636663556098938	87	all-MiniLM-L6-v2
1	0	s_356_57_2	0.636317253112793	88	all-MiniLM-L6-v2
1	0	s_731_329_1	0.6355835199356079	89	all-MiniLM-L6-v2
1	0	s_1660_936_16	0.6350600719451904	90	all-MiniLM-L6-v2
1	0	s_131_921_5	0.6346820592880249	91	all-MiniLM-L6-v2
1	0	s_634_56_0	0.6344728469848633	92	all-MiniLM-L6-v2
1	0	s_2150_400_0	0.633854866027832	93	all-MiniLM-L6-v2
1	0	s_2007_661_0	0.6336001753807068	94	all-MiniLM-L6-v2
1	0	s_1141_20_0	0.6334866285324097	95	all-MiniLM-L6-v2
1	0	s_259_641_0	0.6331908702850342	96	all-MiniLM-L6-v2
1	0	s_356_16_0	0.6331671476364136	97	all-MiniLM-L6-v2
1	0	s_356_142_5	0.632185697555542	98	all-MiniLM-L6-v2
1	0	s_2061_210_1	0.6320421695709229	99	all-MiniLM-L6-v2
1	0	s_1175_869_0	0.631973385810852	100	all-MiniLM-L6-v2
1	0	s_2139_27_1	0.6309998035430908	101	all-MiniLM-L6-v2
1	0	s_1738_131_1	0.6290221214294434	102	all-MiniLM-L6-v2
1	0	s_776_728_1	0.6276186108589172	103	all-MiniLM-L6-v2
1	0	s_10_373_0	0.62713223695755	104	all-MiniLM-L6-v2
1	0	s_342_1402_1	0.6271134614944458	105	all-MiniLM-L6-v2
1	0	s_1499_15_22	0.6265486478805542	106	all-MiniLM-L6-v2
1	0	s_84_102_1	0.6265384554862976	107	all-MiniLM-L6-v2
1	0	s_3044_666_2	0.6263052821159363	108	all-MiniLM-L6-v2
1	0	s_797_494_0	0.6259932518005371	109	all-MiniLM-L6-v2
1	0	s_276_891_0	0.6259385347366333	110	all-MiniLM-L6-v2
1	0	s_597_1379_2	0.6250385046005249	111	all-MiniLM-L6-v2
1	0	s_805_245_0	0.6249436140060425	112	all-MiniLM-L6-v2
1	0	s_560_237_0	0.6249436140060425	113	all-MiniLM-L6-v2
1	0	s_3071_114_1	0.6249240040779114	114	all-MiniLM-L6-v2
1	0	s_1552_561_0	0.6244091391563416	115	all-MiniLM-L6-v2
1	0	s_1404_316_5	0.6239069700241089	116	all-MiniLM-L6-v2
1	0	s_2143_312_17	0.6234925985336304	117	all-MiniLM-L6-v2
1	0	s_697_135_6	0.6233929395675659	118	all-MiniLM-L6-v2
1	0	s_807_290_0	0.622943639755249	119	all-MiniLM-L6-v2
1	0	s_1506_1_8	0.6226387619972229	120	all-MiniLM-L6-v2
1	0	s_349_412_2	0.6224232912063599	121	all-MiniLM-L6-v2
1	0	s_1899_195_0	0.622105062007904	122	all-MiniLM-L6-v2
1	0	s_697_373_15	0.6217636466026306	123	all-MiniLM-L6-v2
1	0	s_588_646_1	0.6215009689331055	124	all-MiniLM-L6-v2
1	0	s_2006_20_3	0.6213377714157104	125	all-MiniLM-L6-v2
1	0	s_1455_420_4	0.6206343770027161	126	all-MiniLM-L6-v2
1	0	s_2100_307_0	0.6204118728637695	127	all-MiniLM-L6-v2
1	0	s_1712_255_3	0.6204118728637695	128	all-MiniLM-L6-v2
1	0	s_2721_569_0	0.6188067197799683	129	all-MiniLM-L6-v2
1	0	s_1824_1615_2	0.6188066005706787	130	all-MiniLM-L6-v2
1	0	s_1900_293_0	0.6180968284606934	131	all-MiniLM-L6-v2
1	0	s_1625_727_5	0.6178292036056519	132	all-MiniLM-L6-v2
1	0	s_2740_55_0	0.6170343160629272	133	all-MiniLM-L6-v2
1	0	s_2023_1224_3	0.6169053316116333	134	all-MiniLM-L6-v2
1	0	s_3028_367_0	0.6168358325958252	135	all-MiniLM-L6-v2
1	0	s_2038_51_7	0.6163400411605835	136	all-MiniLM-L6-v2
1	0	s_2061_635_5	0.6159048080444336	137	all-MiniLM-L6-v2
1	0	s_1082_1_0	0.6159044504165649	138	all-MiniLM-L6-v2
1	0	s_2296_651_2	0.6151780486106873	139	all-MiniLM-L6-v2
1	0	s_840_321_0	0.6149295568466187	140	all-MiniLM-L6-v2
1	0	s_313_1106_24	0.6147350072860718	141	all-MiniLM-L6-v2
1	0	s_552_541_2	0.613548994064331	142	all-MiniLM-L6-v2
1	0	s_2415_843_1	0.6133840680122375	143	all-MiniLM-L6-v2
1	0	s_2139_274_3	0.6129629611968994	144	all-MiniLM-L6-v2
1	0	s_1819_777_0	0.6128997802734375	145	all-MiniLM-L6-v2
1	0	s_2890_264_11	0.6124276518821716	146	all-MiniLM-L6-v2
1	0	s_131_131_1	0.6122486591339111	147	all-MiniLM-L6-v2
1	0	s_976_273_2	0.6115403175354004	148	all-MiniLM-L6-v2
1	0	s_888_1375_2	0.6113731265068054	149	all-MiniLM-L6-v2
1	0	s_3028_409_3	0.6111769080162048	150	all-MiniLM-L6-v2
1	0	s_2007_0_0	0.6104072332382202	151	all-MiniLM-L6-v2
1	0	s_2727_372_1	0.6104033589363098	152	all-MiniLM-L6-v2
1	0	s_1703_993_0	0.6096078157424927	153	all-MiniLM-L6-v2
1	0	s_1965_414_0	0.6096077561378479	154	all-MiniLM-L6-v2
1	0	s_697_348_3	0.6094413995742798	155	all-MiniLM-L6-v2
1	0	s_743_313_0	0.6080917119979858	156	all-MiniLM-L6-v2
1	0	s_149_270_10	0.6078705191612244	157	all-MiniLM-L6-v2
1	0	s_949_1409_1	0.6077861785888672	158	all-MiniLM-L6-v2
1	0	s_1278_27_75	0.6073371767997742	159	all-MiniLM-L6-v2
1	0	s_1701_355_0	0.6064711809158325	160	all-MiniLM-L6-v2
1	0	s_1404_752_3	0.6062636971473694	161	all-MiniLM-L6-v2
1	0	s_2401_0_26	0.6061539053916931	162	all-MiniLM-L6-v2
1	0	s_1578_654_1	0.6056675314903259	163	all-MiniLM-L6-v2
1	0	s_1168_49_0	0.6054590940475464	164	all-MiniLM-L6-v2
1	0	s_1355_237_2	0.6053564548492432	165	all-MiniLM-L6-v2
1	0	s_1404_331_3	0.6052285432815552	166	all-MiniLM-L6-v2
1	0	s_484_1265_0	0.6051987409591675	167	all-MiniLM-L6-v2
1	0	s_149_7_1	0.6051987409591675	168	all-MiniLM-L6-v2
